account,affected_stake
0x66a204d402e14c5b7b5bf9b6d8f2c4c34353a3cd,21428.829800000000
0xae60a8cbc37cfde7ae14047c95bdca81aa159ae0,20733.615400000000
0x697d13930a51a7a9dede42e48fcb0b7043918917,20240.567300000000
0xb054675add7062e2a708ba7c211fb0ec1f56b8fa,20150.000000000000
0xff79ad62d19066e43b99eed19f94e11b0e0b5688,19647.453571538449
0x20f77d1e0b152197483aa088467bd2eb81c3757d,19502.168200000000
0x90f659686262a2149dfeb4b6ef88edc8fcc4e05a,18879.990300000000
0x27643f4e2b35a18bcd55252e88f13039f4f81927,18588.510200000000
0x040d4205b3b23151c5df8076c15ce830332b97fd,18587.518300000000
0xd23cca1d288eaded8667a7d4765d0033641f4c60,18254.609900000000
0x896db7c827e6dc3635f659dae77cd04b8d6cd5e3,18168.121200000000
0x3e1a12a6019ee26418f22b656926fe38f5e58c5f,17875.453000000000
0xa6cf43fe0b47d5da8f03258b37f1caf148955019,17812.491000000000
0xc7b169b108c5e75991c520aea97140534291c81d,17460.000000000000
0xbe1d706baf3aff088c7c6ee32f6012fa71003d97,16917.000000000000
0xc9e3d84e62cc145ff76fd90859cbd46b5c665941,16150.000000000000
0x2e31bd290416f095db77c56cb2a2ce7ea4511872,16150.000000000000
0x9d8c00b16906a78943c66f1f976a98e4e7a36909,16000.000000000000
0xeeb07fafcb5761394be481f03f1048aab0deadc4,16000.000000000000
0x1cccede48295654b7e48333b47f54d24c4d612d9,16000.000000000000
0x045795ff0b8c353290a900654514032e92c289b7,15999.800000000000
0x95f3dadaa5c781de9aa453830d4e689d57937f82,15919.409400000000
0x7f83b0668cfd2ffcade1812801106fbd05fa480a,15450.974900000000
0xedf3b7578a521d5939d8d508e0706ad88fe55baf,15169.203400000000
0xccebe8104a3aa1a440461f5f4f6c38fbdfb30802,14596.000000000000
0xe9bd415d5d543b5d4fe12ac2baa52cd9ca026f46,13829.133100000000
0x35e939c53b208ccec114c6b92f6d754b023dff4d,12514.650000000000
0x034e1f7a66b582b68e511b325ed0ccb71bb4bc12,12289.799500000000
0xb817f347cc5dc77dabeb45dc071dc4ca80b28e16,11983.758031333590
0xe3ac40fb0e6421bdb3426aaa957edf3ccb34bf1a,11751.008800000000
0x8e118bbffdcc009b1d46423868f7a49f8bcbbfcc,11482.265700000000
0xa3176cdb52dd85290e72b2c486cf6149ab38fd32,10516.510000000000
